user_id,total_debt,avg_monthly_spending,total_balance,income,age,gender,credit_score,dependents,loan_amount
0,17161.02,2050.62,135397.68,77292.33,39,Male,525,5,51658.45
1,8828.77,2179.66,0.0,62148.07,76,Male,583,2,65844.66
2,30635.57,2071.04,149569.25,99367.6,36,Non-Binary,726,2,127767.17
3,31163.61,2385.51,61246.22,88173.19,46,Non-Binary,759,3,99912.5
4,34325.62,2220.68,55612.41,74076.23,60,Female,641,0,73937.0
5,12229.97,2111.58,4441.78,57532.6,41,Male,588,0,71166.65
6,6497.55,1808.27,0.0,33262.91,45,Female,772,5,48236.4
7,20399.29,1851.38,50456.65,115148.28,66,Female,670,3,133854.73
8,4857.04,2170.45,89322.42,85994.14,18,Female,808,3,157376.58
9,13010.99,2531.87,67135.95,107178.02,71,Female,552,2,103549.62
10,19953.84,1827.18,0.0,70052.56,64,Male,504,2,44597.22
11,18751.55,2088.73,52376.82,51111.51,33,Non-Binary,612,1,49564.25
12,35112.21,2374.37,89639.92,103836.55,43,Male,599,5,78458.59
13,17201.48,2437.74,6241.53,64599.24,47,Male,638,2,69907.78
14,26570.45,3469.1,1188.8,81815.13,36,Non-Binary,595,0,88894.23
15,18190.16,1581.07,51583.19,54782.45,45,Female,570,4,37723.67
16,8038.32,2671.75,79768.97,74670.22,58,Male,801,5,127460.97
17,11571.68,2097.76,41171.31,32363.49,45,Non-Binary,703,2,36563.97
18,46096.26,3010.88,125929.95,101377.76,57,Male,713,0,124535.17
19,15717.74,2062.24,170123.73,91365.97,45,Non-Binary,711,0,169589.96
20,23556.42,1692.67,63072.64,73893.44,41,Male,655,0,97471.39
21,57518.22,2051.55,109531.87,118497.89,53,Female,515,2,57210.47
22,6747.84,2781.23,9384.25,51846.67,23,Non-Binary,717,0,102579.63
23,16515.79,2409.42,2991.92,76598.57,29,Non-Binary,618,0,104216.69
24,30687.62,2279.42,101326.55,72082.71,25,Female,753,2,81827.64
25,2292.02,1788.36,20487.84,100255.9,23,Non-Binary,688,4,145129.07
26,18599.48,2700.63,14212.29,111896.68,34,Female,720,2,170988.63
27,29883.08,2472.14,0.0,81034.34,33,Non-Binary,662,2,80800.97
28,10999.7,2730.58,38783.6,73426.32,77,Male,533,1,71404.87
29,4105.5,1757.31,72743.92,69994.18,40,Non-Binary,689,3,97862.75
30,25717.99,1539.51,0.0,97711.77,40,Female,409,2,34242.98
31,10169.07,2264.47,68424.93,68919.63,56,Non-Binary,619,1,92003.61
32,16944.03,2218.04,54624.14,39235.42,58,Non-Binary,637,0,40976.42
33,265.17,1616.23,9283.87,84850.3,22,Female,735,1,180627.71
34,5958.33,1779.67,44361.23,48682.04,62,Non-Binary,720,0,97876.42
35,22173.97,2791.05,157057.7,104239.21,18,Male,683,1,154297.97
36,13281.12,2398.64,17008.83,35669.65,29,Non-Binary,756,0,55687.31
37,34420.2,2111.31,110494.07,98731.13,39,Female,563,4,64580.22
38,20394.85,2989.81,42698.9,53094.16,42,Male,850,3,68669.36
39,5639.9,500.0,29036.4,24607.64,35,Male,519,2,18126.48
40,34978.27,1799.17,105042.94,73209.48,60,Male,631,1,62123.02
41,31203.86,2270.46,0.0,87269.03,50,Female,653,0,107951.62
42,8582.39,2044.27,66417.53,76545.96,57,Female,699,5,103539.58
43,8907.83,1596.28,40341.39,51814.39,33,Female,572,0,63657.99
44,1732.08,1428.39,50425.27,93726.35,19,Male,611,4,109239.04
45,5248.41,1719.01,98785.01,93082.63,41,Male,612,1,134530.17
46,17966.1,2043.5,93597.58,114744.51,59,Female,517,0,114550.63
47,40974.24,2052.0,48424.45,89329.39,65,Female,575,2,58026.73
48,16279.9,2395.23,59510.48,99701.69,67,Non-Binary,657,4,113711.71
49,18697.66,1898.74,113572.85,58581.52,71,Female,608,4,46903.79
50,15173.73,2326.81,44542.73,96279.39,34,Non-Binary,659,5,111173.96
51,157.94,1892.09,40955.36,83854.89,55,Non-Binary,593,4,93634.06
52,15772.57,1583.68,29992.49,77079.7,39,Male,587,2,76779.08
53,21573.64,1961.19,59153.62,84852.9,61,Non-Binary,850,4,132886.98
54,10133.23,2364.45,0.0,45011.96,70,Female,737,2,66511.0
55,18447.61,1237.44,86921.73,39148.45,51,Male,783,5,38176.98
56,5296.38,2942.13,53131.82,63749.95,37,Non-Binary,768,4,104451.36
57,13533.05,2227.63,76619.71,64176.52,48,Female,566,5,51435.56
58,57784.99,1250.57,168071.54,126318.53,36,Male,596,5,77455.88
59,41917.13,1749.94,83492.82,96743.62,75,Male,747,4,93574.61
60,6268.39,2208.31,69837.87,86280.17,48,Non-Binary,809,3,155499.4
61,22113.39,2334.35,0.0,55883.85,78,Non-Binary,652,3,45388.03
62,26588.04,1500.82,68171.56,80520.23,26,Male,629,0,96784.36
63,41593.25,1934.99,88391.95,85334.39,53,Non-Binary,822,0,124544.34
64,8306.79,2703.83,106020.18,80213.86,50,Female,502,1,71305.77
65,15251.14,2860.01,57713.72,74131.25,24,Non-Binary,374,0,23766.24
66,20747.31,2457.95,45706.05,102200.17,64,Male,686,5,120047.01
67,46661.28,2239.76,51110.61,118610.53,38,Male,675,0,147169.73
68,5246.7,2122.63,345.03,78425.63,29,Non-Binary,678,2,120705.43
